Timestamp,Scenario,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,RunID,TimeStep,Prediction_FullDBN,Prediction_VanillaDBN,Prediction_RuleBased
2025-05-01 11:51:33.991125,Normal,Normal,OK,OK,0,50,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:34.991125,Normal,Normal,OK,OK,0,51,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:35.991125,Normal,Normal,OK,OK,0,52,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:36.991125,Normal,Normal,OK,OK,0,53,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:37.991125,Normal,Normal,OK,OK,0,54,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:38.991125,Normal,Normal,OK,OK,0,55,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:39.991125,Normal,Normal,OK,OK,0,56,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:40.991125,Normal,Normal,OK,OK,0,57,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:41.991125,Normal,Normal,OK,OK,0,58,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:42.991125,Normal,Normal,OK,OK,0,59,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:43.991125,Normal,Normal,OK,OK,0,60,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:44.991125,Normal,Normal,OK,OK,0,61,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:45.991125,Normal,Normal,OK,OK,0,62,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:46.991125,Normal,Normal,OK,OK,0,63,Normal_Predicted,Normal_Predicted,Normal_Predicted
2025-05-01 11:51:47.991125,Normal,Normal,OK,OK,0,64,Normal_Predicted,Normal_Predicted,Normal_Predicted
